Counterparty,Internal/External,Trade Status,Portfolio,User Name,User Group,User Desk,Clearing Eligibility,Typology,Source System,Entity,Trade Insert,Flow Currency,Last Contract Event Action,Payment Netting,Contract Id,Party Name,partyName2
None,external,live,HKLIQ_STLM,MUREXFO,FO,FOD EUROPE,false,Loan Deposit,Theoretical,ASIA_USD,INSERT,HKD,INSERT,true,7330565,RABOBANK,RABOBANK
None,internal,dead,SALIQ_STLM_RBF,MUREXFO,FO,FOD EUROPE,false,SCF,Theoretical,NA_CLP,INSERT,None,INSERT,false,7330564,RABOBANK,RABOBANK
None,external,live,HKLIQ_STLM,MUREXFO,FO,FOD EUROPE,false,Loan Deposit,Theoretical,ASIA_USD,INSERT,HKD,INSERT,true,7330563,RABOBANK,RABOBANK
None,external,live,HKLIQ_STLM,MUREXFO,FO,FOD EUROPE,false,Loan Deposit,Theoretical,ASIA_USD,INSERT,HKD,INSERT,true,7330562,RABOBANK,RABOBANK
None,external,live,HKLIQ_STLM,MUREXFO,FO,FOD EUROPE,false,Loan Deposit,Theoretical,ASIA_USD,INSERT,USD,INSERT,true,7330560,RABOBANK,RABOBANK
None,external,live,HKLIQ_STLM,MUREXFO,FO,FOD EUROPE,false,Loan Deposit,Theoretical,ASIA_USD,INSERT,USD,INSERT,true,7330559,RABOBANK,RABOBANK
None,external,dead,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,AUD,INSERT,true,7330558,RABOBANK,RABOBANK
None,external,live,HKLIQ_STLM_UT,MUREXFO,FO,FOD EUROPE,false,Loan Deposit,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330557,RABOBANK,RABOBANK
None,external,live,HKLIQ_STLM_UT,MUREXFO,FO,FOD EUROPE,false,Loan Deposit,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330556,RABOBANK,RABOBANK
None,internal,dead,LOFXSP_EMKT_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,None,INSERT,false,7330555,RABOBANK,RABOBANK
None,external,dead,LOFXSP_EMKT_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,AUD,INSERT,true,7330554,RABOBANK,RABOBANK
